play_id,game_id,timestamp,player_id,action_type,shot_type,distance_ft,is_made,quarter,time_remaining
P0004,0042500317,2026-06-01T03:26:10Z,PL_1631096,Jump Ball,2PT,0.0,False,1,PT12M00.00S
P0007,0042500317,2026-06-01T03:26:15Z,PL_1641705,Made Shot,2PT,12.0,False,1,PT11M39.00S
P0008,0042500317,2026-06-01T03:26:20Z,PL_1631096,Turnover,2PT,0.0,False,1,PT11M21.00S
P0008,0042500317,2026-06-01T03:26:25Z,PL_1630170,,2PT,0.0,False,1,PT11M21.00S
P0010,0042500317,2026-06-01T03:26:30Z,PL_1629652,Foul,2PT,0.0,False,1,PT11M17.00S
P0013,0042500317,2026-06-01T03:26:35Z,PL_1630170,Made Shot,2PT,14.0,False,1,PT10M59.00S
P0014,0042500317,2026-06-01T03:26:40Z,PL_1631096,Made Shot,2PT,12.0,False,1,PT10M41.00S
P0016,0042500317,2026-06-01T03:26:45Z,PL_1642264,Made Shot,2PT,1.0,False,1,PT10M33.00S
P0018,0042500317,2026-06-01T03:26:50Z,PL_1628983,Made Shot,2PT,19.0,False,1,PT10M12.00S
P0019,0042500317,2026-06-01T03:26:55Z,PL_1642264,Made Shot,2PT,1.0,False,1,PT09M55.00S
P0021,0042500317,2026-06-01T03:27:00Z,PL_1631096,Missed Shot,2PT,8.0,False,1,PT09M39.00S
P0022,0042500317,2026-06-01T03:27:05Z,PL_1641717,Rebound,2PT,0.0,False,1,PT09M36.00S
P0023,0042500317,2026-06-01T03:27:10Z,PL_1629652,Missed Shot,3PT,25.0,False,1,PT09M30.00S
P0024,0042500317,2026-06-01T03:27:15Z,PL_1610612759,Rebound,2PT,0.0,False,1,PT09M29.00S
P0026,0042500317,2026-06-01T03:27:20Z,PL_1641705,Made Shot,2PT,2.0,False,1,PT09M11.00S
P0028,0042500317,2026-06-01T03:27:25Z,PL_1629652,Missed Shot,3PT,26.0,False,1,PT08M52.00S
P0029,0042500317,2026-06-01T03:27:30Z,PL_1641705,Rebound,2PT,0.0,False,1,PT08M48.00S
P0030,0042500317,2026-06-01T03:27:35Z,PL_1630170,Missed Shot,3PT,0.0,False,1,PT08M42.00S
P0032,0042500317,2026-06-01T03:27:40Z,PL_1628983,Rebound,2PT,0.0,False,1,PT08M38.00S
P0033,0042500317,2026-06-01T03:27:45Z,PL_1628392,Turnover,2PT,0.0,False,1,PT08M26.00S
P0033,0042500317,2026-06-01T03:27:50Z,PL_1641705,,2PT,0.0,False,1,PT08M26.00S
P0035,0042500317,2026-06-01T03:27:55Z,PL_1641717,Foul,2PT,0.0,False,1,PT08M21.00S
P0037,0042500317,2026-06-01T03:28:00Z,PL_1629652,Substitution,2PT,0.0,False,1,PT08M21.00S
P0039,0042500317,2026-06-01T03:28:05Z,PL_1642264,Missed Shot,2PT,13.0,False,1,PT08M12.00S
