play_id,game_id,timestamp,player_id,action_type,shot_type,distance_ft,is_made,player_name,team_name,points_scored,shot_quality_category,clutch_shot_flag,_kafka_key,_kafka_partition,_kafka_offset
P0007,0042500317,2026-06-01T03:43:29Z,PL_1641705,Made Shot,2PT,12.0,True,Wembanyama,SAS,2,Paint,False,0042500317,0,1
P0013,0042500317,2026-06-01T03:43:49Z,PL_1630170,Made Shot,2PT,14.0,True,Vassell,SAS,2,Paint,False,0042500317,0,5
P0014,0042500317,2026-06-01T03:43:54Z,PL_1631096,Made Shot,2PT,12.0,True,Holmgren,OKC,2,Paint,False,0042500317,0,6
P0016,0042500317,2026-06-01T03:43:59Z,PL_1642264,Made Shot,2PT,1.0,True,Castle,SAS,2,Restricted Area,False,0042500317,0,7
P0018,0042500317,2026-06-01T03:44:04Z,PL_1628983,Made Shot,2PT,19.0,True,Gilgeous-Alexander,OKC,2,Mid-Range,False,0042500317,0,8
P0019,0042500317,2026-06-01T03:44:09Z,PL_1642264,Made Shot,2PT,1.0,True,Castle,SAS,2,Restricted Area,False,0042500317,0,9
P0021,0042500317,2026-06-01T03:44:14Z,PL_1631096,Missed Shot,2PT,8.0,False,Holmgren,OKC,0,Paint,False,0042500317,0,10
P0023,0042500317,2026-06-01T03:44:24Z,PL_1629652,Missed Shot,3PT,25.0,False,Dort,OKC,0,NBA Deep 3,False,0042500317,0,12
P0026,0042500317,2026-06-01T03:44:34Z,PL_1641705,Made Shot,2PT,2.0,True,Wembanyama,SAS,2,Restricted Area,False,0042500317,0,14
P0028,0042500317,2026-06-01T03:44:39Z,PL_1629652,Missed Shot,3PT,26.0,False,Dort,OKC,0,NBA Deep 3,False,0042500317,0,15
P0030,0042500317,2026-06-01T03:44:49Z,PL_1630170,Missed Shot,3PT,0.0,False,Vassell,SAS,0,Restricted Area,False,0042500317,0,17
P0039,0042500317,2026-06-01T03:45:19Z,PL_1642264,Missed Shot,2PT,13.0,False,Castle,SAS,0,Paint,False,0042500317,0,23
P0041,0042500317,2026-06-01T03:45:29Z,PL_1628392,Made Shot,2PT,9.0,True,Hartenstein,OKC,2,Paint,False,0042500317,0,25
P0043,0042500317,2026-06-01T03:45:34Z,PL_1628368,Made Shot,3PT,25.0,True,Fox,SAS,3,NBA Deep 3,False,0042500317,0,26
P0047,0042500317,2026-06-01T03:45:49Z,PL_1630170,Missed Shot,3PT,26.0,False,Vassell,SAS,0,NBA Deep 3,False,0042500317,0,29
P0049,0042500317,2026-06-01T03:45:59Z,PL_1628983,Made Shot,2PT,5.0,True,Gilgeous-Alexander,OKC,2,Paint,False,0042500317,0,31
P0050,0042500317,2026-06-01T03:46:04Z,PL_1630577,Made Shot,3PT,28.0,True,Champagnie,SAS,3,NBA Deep 3,False,0042500317,0,32
P0054,0042500317,2026-06-01T03:46:19Z,PL_1630170,Missed Shot,2PT,2.0,False,Vassell,SAS,0,Restricted Area,False,0042500317,0,35
P0056,0042500317,2026-06-01T03:46:29Z,PL_1642264,Made Shot,2PT,0.0,True,Castle,SAS,2,Restricted Area,False,0042500317,0,37
P0064,0042500317,2026-06-01T03:46:54Z,PL_1641717,Missed Shot,3PT,27.0,False,Wallace,OKC,0,NBA Deep 3,False,0042500317,0,42
P0066,0042500317,2026-06-01T03:47:04Z,PL_1642272,Missed Shot,3PT,25.0,False,McCain,OKC,0,NBA Deep 3,False,0042500317,0,44
P0068,0042500317,2026-06-01T03:47:14Z,PL_1641717,Made Shot,3PT,0.0,True,Wallace,OKC,3,Restricted Area,False,0042500317,0,46
P0070,0042500317,2026-06-01T03:47:19Z,PL_1630170,Made Shot,3PT,26.0,True,Vassell,SAS,3,NBA Deep 3,False,0042500317,0,47
P0072,0042500317,2026-06-01T03:47:24Z,PL_1627936,Made Shot,2PT,1.0,True,Caruso,OKC,2,Restricted Area,False,0042500317,0,48
P0073,0042500317,2026-06-01T03:47:29Z,PL_1642264,Made Shot,2PT,3.0,True,Castle,SAS,2,Restricted Area,False,0042500317,0,49
P0076,0042500317,2026-06-01T03:47:39Z,PL_1642264,Free Throw,FT,0.0,True,Castle,SAS,1,Restricted Area,False,0042500317,0,51
P0079,0042500317,2026-06-01T03:47:54Z,PL_1630577,Made Shot,3PT,24.0,True,Champagnie,SAS,3,NBA Deep 3,False,0042500317,0,54
P0081,0042500317,2026-06-01T03:47:59Z,PL_1642272,Made Shot,2PT,4.0,True,McCain,OKC,2,Paint,False,0042500317,0,55
P0082,0042500317,2026-06-01T03:48:04Z,PL_1642264,Missed Shot,3PT,25.0,False,Castle,SAS,0,NBA Deep 3,False,0042500317,0,56
P0084,0042500317,2026-06-01T03:48:14Z,PL_1642272,Made Shot,3PT,0.0,True,McCain,OKC,3,Restricted Area,False,0042500317,0,58
P0096,0042500317,2026-06-01T03:48:44Z,PL_1642264,Missed Shot,2PT,4.0,False,Castle,SAS,0,Paint,False,0042500317,0,64
P0104,0042500317,2026-06-01T03:49:19Z,PL_1628983,Free Throw,FT,0.0,True,Gilgeous-Alexander,OKC,1,Restricted Area,False,0042500317,0,71
P0107,0042500317,2026-06-01T03:49:29Z,PL_1628983,Free Throw,FT,0.0,True,Gilgeous-Alexander,OKC,1,Restricted Area,False,0042500317,0,73
P0108,0042500317,2026-06-01T03:49:34Z,PL_1641705,Missed Shot,2PT,22.0,False,Wembanyama,SAS,0,Mid-Range,False,0042500317,0,74
P0110,0042500317,2026-06-01T03:49:44Z,PL_1628983,Missed Shot,3PT,25.0,False,Gilgeous-Alexander,OKC,0,NBA Deep 3,False,0042500317,0,76
P0112,0042500317,2026-06-01T03:49:54Z,PL_1631119,Missed Shot,3PT,25.0,False,Williams,OKC,0,NBA Deep 3,False,0042500317,0,78
P0114,0042500317,2026-06-01T03:50:04Z,PL_1630170,Missed Shot,2PT,10.0,False,Vassell,SAS,0,Paint,False,0042500317,0,80
P0116,0042500317,2026-06-01T03:50:14Z,PL_1642272,Missed Shot,3PT,25.0,False,McCain,OKC,0,NBA Deep 3,False,0042500317,0,82
P0122,0042500317,2026-06-01T03:50:34Z,PL_1629026,Missed Shot,3PT,26.0,False,Williams,OKC,0,NBA Deep 3,False,0042500317,0,86
P0124,0042500317,2026-06-01T03:50:44Z,PL_1642844,Made Shot,2PT,3.0,True,Harper,SAS,2,Restricted Area,False,0042500317,0,88
P0125,0042500317,2026-06-01T03:50:49Z,PL_1628983,Missed Shot,2PT,8.0,False,Gilgeous-Alexander,OKC,0,Paint,False,0042500317,0,89
P0129,0042500317,2026-06-01T03:51:04Z,PL_1630170,Free Throw,FT,0.0,True,Vassell,SAS,1,Restricted Area,False,0042500317,0,92
P0132,0042500317,2026-06-01T03:51:14Z,PL_1630170,Free Throw,FT,0.0,True,Vassell,SAS,1,Restricted Area,False,0042500317,0,94
P0133,0042500317,2026-06-01T03:51:19Z,PL_1627936,Missed Shot,3PT,24.0,False,Caruso,OKC,0,NBA Deep 3,False,0042500317,0,95
P0142,0042500317,2026-06-01T03:51:49Z,PL_1627936,Missed Shot,3PT,25.0,False,Caruso,OKC,0,NBA Deep 3,False,0042500317,0,101
P0144,0042500317,2026-06-01T03:51:59Z,PL_1629026,Made Shot,2PT,0.0,True,Williams,OKC,2,Restricted Area,False,0042500317,0,103
P0153,0042500317,2026-06-01T03:52:34Z,PL_1641705,Free Throw,FT,0.0,True,Wembanyama,SAS,1,Restricted Area,False,0042500317,0,110
P0154,0042500317,2026-06-01T03:52:39Z,PL_1642272,Missed Shot,2PT,2.0,False,McCain,OKC,0,Restricted Area,False,0042500317,0,111
P0158,0042500317,2026-06-01T03:52:54Z,PL_1642272,Made Shot,3PT,26.0,True,McCain,OKC,3,NBA Deep 3,False,0042500317,0,114
P0160,0042500317,2026-06-01T03:52:59Z,PL_1628368,Missed Shot,3PT,0.0,False,Fox,SAS,0,Restricted Area,False,0042500317,0,115
P0170,0042500317,2026-06-01T03:53:29Z,PL_1628983,Made Shot,2PT,13.0,True,Gilgeous-Alexander,OKC,2,Paint,False,0042500317,0,118
P0172,0042500317,2026-06-01T03:53:34Z,PL_1642844,Made Shot,3PT,27.0,True,Harper,SAS,3,NBA Deep 3,False,0042500317,0,119
P0174,0042500317,2026-06-01T03:53:39Z,PL_1627936,Missed Shot,3PT,25.0,False,Caruso,OKC,0,NBA Deep 3,False,0042500317,0,120
P0180,0042500317,2026-06-01T03:53:59Z,PL_1642264,Missed Shot,3PT,26.0,False,Castle,SAS,0,NBA Deep 3,False,0042500317,0,124
P0182,0042500317,2026-06-01T03:54:09Z,PL_1642272,Missed Shot,2PT,11.0,False,McCain,OKC,0,Paint,False,0042500317,0,126
P0186,0042500317,2026-06-01T03:54:24Z,PL_1628392,Made Shot,2PT,5.0,True,Hartenstein,OKC,2,Paint,False,0042500317,0,129
P0188,0042500317,2026-06-01T03:54:29Z,PL_203084,Missed Shot,3PT,0.0,False,Barnes,SAS,0,Restricted Area,False,0042500317,0,130
P0197,0042500317,2026-06-01T03:54:54Z,PL_1642272,Made Shot,2PT,12.0,True,McCain,OKC,2,Paint,False,0042500317,0,135
P0198,0042500317,2026-06-01T03:54:59Z,PL_1628368,Made Shot,2PT,4.0,True,Fox,SAS,2,Paint,False,0042500317,0,136
P0199,0042500317,2026-06-01T03:55:04Z,PL_1628392,Missed Shot,2PT,12.0,False,Hartenstein,OKC,0,Paint,False,0042500317,0,137
P0201,0042500317,2026-06-01T03:55:14Z,PL_1641705,Made Shot,3PT,27.0,True,Wembanyama,SAS,3,NBA Deep 3,False,0042500317,0,139
P0208,0042500317,2026-06-01T03:55:34Z,PL_1627936,Missed Shot,2PT,4.0,False,Caruso,OKC,0,Paint,False,0042500317,0,143
P0210,0042500317,2026-06-01T03:55:44Z,PL_1631119,Made Shot,2PT,1.0,True,Williams,OKC,2,Restricted Area,False,0042500317,0,145
